alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 64, 0, 0.23267162034716862, 0.0, 0, 'MATCH', 0.9996666666666667, 240000, 80, 239298, 702, 0.886039886039886, 0, 0.0)
(0.2, 64, 0, 0.16636053439790188, 0.0, 0, 'MATCH', 0.9994208333333333, 240000, 139, 239319, 681, 0.7958883994126285, 0, 0.0)
(0.3, 64, 0, 0.12557316325721934, 0.0, 0, 'MATCH', 0.9991875, 240000, 195, 239333, 667, 0.7076461769115443, 0, 0.0)
(0.4, 64, 0, 0.08856512370862463, 0.0, 0, 'MATCH', 0.999, 240000, 240, 239355, 645, 0.627906976744186, 0, 0.0)
(0.1, 64, 1, 0.018354963688475, 0.0, 0, 'MATCH', 0.970125, 240000, 7170, 119652, 120348, 0.940422773955529, 0, 0.0)
(0.2, 64, 1, 0.015456118324930213, 0.1, 0.0005549349526101921, 'MATCH', 0.9520333333333333, 240000, 11512, 121972, 118028, 0.9024638221438981, 0, 0.0)
(0.3, 64, 1, 0.01192815918574323, 0.15, 0.0006530198852620073, 'MATCH', 0.9342375, 240000, 15783, 122625, 117375, 0.8655335463258786, 0, 0.0)
(0.4, 64, 1, 0.00815152917392259, 0.05, 0.00013770408192648187, 'MATCH', 0.9167291666666667, 240000, 19985, 121656, 118344, 0.8311278983302913, 0, 0.0)
(0.1, 64, 2, 0.06605665234551916, 0.0, 0, 'MATCH', 0.9973125, 240000, 645, 232690, 7310, 0.9117647058823529, 0, 0.0)
(0.2, 64, 2, 0.0796517039919592, 0.1, 0.0016186265436377023, 'MATCH', 0.9973875, 240000, 627, 235661, 4339, 0.8554966582161788, 0, 0.0)
(0.3, 64, 2, 0.06459665426202447, 0.05, 0.0013240844866712065, 'MATCH', 0.9975708333333333, 240000, 583, 236883, 3117, 0.8129611806223933, 0, 0.0)
(0.4, 64, 2, 0.05933187582461169, 0.05, 0.002412693233598606, 'MATCH', 0.9972958333333334, 240000, 649, 237252, 2748, 0.7638282387190685, 0, 0.0)
(0.1, 64, 3, 0.02424875865240192, 0.1, 0.0005583123278784796, 'MATCH', 0.9771583333333334, 240000, 5482, 111847, 128153, 0.9572230068745952, 0, 0.0)
(0.2, 64, 3, 0.01185001528825877, 0.0, 0, 'MATCH', 0.9610041666666667, 240000, 9359, 111081, 128919, 0.927404028886355, 0, 0.0)
(0.3, 64, 3, 0.008158925810315965, 0.0, 0, 'MATCH', 0.9430666666666667, 240000, 13664, 109882, 130118, 0.894987626615841, 0, 0.0)
(0.4, 64, 3, 0.008279181011885406, 0.1, 0.00035339972412229415, 'MATCH', 0.9207333333333333, 240000, 19024, 107055, 132945, 0.8569032306592952, 0, 0.0)
(0.1, 64, 4, 0.07087288609031961, 0.0, 0, 'MATCH', 0.9973125, 240000, 645, 232326, 7674, 0.9159499609069586, 0, 0.0)
(0.2, 64, 4, 0.07527842627314735, 0.05, 0.0029349680590279315, 'MATCH', 0.9973375, 240000, 639, 235478, 4522, 0.8586908447589562, 0, 0.0)
(0.3, 64, 4, 0.060861587055893174, 0.1, 0.001547276359909533, 'MATCH', 0.9972625, 240000, 657, 236498, 3502, 0.8123929183323815, 0, 0.0)
(0.4, 64, 4, 0.044218549303188526, 0.0, 0, 'MATCH', 0.9972375, 240000, 663, 237055, 2945, 0.7748726655348047, 0, 0.0)
(0.1, 64, 5, 0.01543986083628407, 0.0, 0, 'MATCH', 0.9699416666666667, 240000, 7214, 119323, 120677, 0.9402205888446017, 148, 0.0012264143125864913)
(0.2, 64, 5, 0.013757068817561585, 0.05, 0.00023329976433927868, 'MATCH', 0.946025, 240000, 12954, 117445, 122555, 0.894300518134715, 335, 0.0027334666068295865)
(0.3, 64, 5, 0.014344067076589122, 0.1, 0.0014786912360567062, 'MATCH', 0.9235833333333333, 240000, 18340, 114151, 125849, 0.8542697995216489, 1351, 0.010735087287145706)
(0.4, 64, 5, 0.009928761348015763, 0.1, 0.0009951614120516927, 'MATCH', 0.8973, 240000, 24648, 109697, 130303, 0.8108408862420666, 1465, 0.011243025870471133)
(0.1, 64, 6, 0.030277240991986587, 0.0, 0, 'MATCH', 0.9978791666666667, 240000, 509, 198953, 41047, 0.9875995809681585, 32, 0.0007795941238092918)
(0.2, 64, 6, 0.03937121721939926, 0.05, 0.0022756502509707066, 'MATCH', 0.9955208333333333, 240000, 1075, 215817, 24183, 0.9555472852830501, 167, 0.0069056775420750114)
(0.3, 64, 6, 0.021590896274732617, 0.0, 0, 'MATCH', 0.9945041666666666, 240000, 1319, 223586, 16414, 0.9196417692213964, 268, 0.016327525283294748)
(0.4, 64, 6, 0.03777020410411197, 0.15, 0.004707903596056273, 'MATCH', 0.9939583333333334, 240000, 1450, 228686, 11314, 0.8718401979847976, 133, 0.011755347357256496)
(0.1, 64, 7, 0.029740154060912266, 0.1, 0.001145552228776242, 'MATCH', 0.9708625, 240000, 6993, 106285, 133715, 0.9477022024454997, 0, 0.0)
(0.2, 64, 7, 0.014289202303185977, 0.1, 0.000520740855202817, 'MATCH', 0.9551916666666667, 240000, 10754, 99653, 140347, 0.9233756332518686, 0, 0.0)
(0.3, 64, 7, 0.010406143178747773, 0.1, 0.00048758380940705504, 'MATCH', 0.9339416666666667, 240000, 15854, 94573, 145427, 0.8909831049254953, 0, 0.0)
(0.4, 64, 7, 0.007400641332941105, 0.05, 0.000195881853667923, 'MATCH', 0.8998041666666666, 240000, 24047, 87831, 152169, 0.8419717550880929, 0, 0.0)
(0.1, 64, 8, 0.2697945033034235, 0.05, 0.011729303124832807, 'MATCH', 0.9995583333333333, 240000, 106, 238659, 1341, 0.9209545115585384, 0, 0.0)
(0.2, 64, 8, 0.09151917834614609, 0.0, 0, 'MATCH', 0.99905, 240000, 228, 238589, 1411, 0.8384124734231042, 0, 0.0)
(0.3, 64, 8, 0.12505573696560301, 0.05, 0.01243658519926516, 'MATCH', 0.9983875, 240000, 387, 238507, 1493, 0.740790354989953, 0, 0.0)
(0.4, 64, 8, 0.04359497835030382, 0.0, 0, 'MATCH', 0.9979333333333333, 240000, 496, 238425, 1575, 0.6850793650793651, 0, 0.0)
(0.1, 64, 9, 0.02404753628634626, 0.1, 0.0004207629914037003, 'MATCH', 0.9888083333333333, 240000, 2686, 127551, 112449, 0.976113615950342, 0, 0.0)
(0.2, 64, 9, 0.01253338270133908, 0.0, 0, 'MATCH', 0.9776, 240000, 5376, 124525, 115475, 0.9534444684996752, 0, 0.0)
(0.3, 64, 9, 0.005872679251553622, 0.0, 0, 'MATCH', 0.962775, 240000, 8934, 120624, 119376, 0.9251608363490149, 0, 0.0)
(0.4, 64, 9, 0.005429680887319571, 0.0, 0, 'MATCH', 0.9453291666666667, 240000, 13121, 115894, 124106, 0.8942758609575685, 0, 0.0)
(0.1, 64, 10, 0.06772028605143227, 0.1, 0.0008626302083333259, 'MATCH', 0.9949208333333334, 240000, 1219, 225536, 14464, 0.9157217920353983, 0, 0.0)
(0.2, 64, 10, 0.04951521280545823, 0.0, 0, 'MATCH', 0.9952875, 240000, 1131, 232137, 7863, 0.8561617703166731, 0, 0.0)
(0.3, 64, 10, 0.05983421358423021, 0.1, 0.0048167254293743356, 'MATCH', 0.9956125, 240000, 1053, 234482, 5518, 0.8091699891264951, 0, 0.0)
(0.4, 64, 10, 0.049678847713284235, 0.15, 0.004159159299537252, 'MATCH', 0.9958791666666666, 240000, 989, 235566, 4434, 0.7769508344609833, 0, 0.0)
(0.1, 64, 11, 0.020795697991343037, 0.1, 0.0003334761256369445, 'MATCH', 0.9784166666666667, 240000, 5180, 93782, 146218, 0.9645734451298745, 0, 0.0)
(0.2, 64, 11, 0.012599431567618946, 0.05, 0.00019644590799910988, 'MATCH', 0.9605208333333334, 240000, 9475, 97536, 142464, 0.933491969901168, 0, 0.0)
(0.3, 64, 11, 0.008212617122146937, 0.0, 0, 'MATCH', 0.9369958333333334, 240000, 15121, 96766, 143234, 0.894431489730092, 0, 0.0)
(0.4, 64, 11, 0.007526293144058949, 0.05, 0.00018290306908264053, 'MATCH', 0.9120916666666666, 240000, 21098, 94717, 145283, 0.8547799811402573, 0, 0.0)
(0.1, 64, 12, 0.06379024561794733, 0.05, 0.00040616314431130007, 'MATCH', 0.9950583333333334, 240000, 1186, 226437, 13563, 0.9125562191255622, 0, 0.0)
(0.2, 64, 12, 0.05289699003524287, 0.05, 0.0009029071231900498, 'MATCH', 0.9955583333333333, 240000, 1066, 232590, 7410, 0.856140350877193, 0, 0.0)
(0.3, 64, 12, 0.05536212044451335, 0.05, 0.0027097822844013852, 'MATCH', 0.9953833333333333, 240000, 1108, 234534, 5466, 0.7972923527259421, 0, 0.0)
(0.4, 64, 12, 0.05727196255943298, 0.15, 0.007152325084309519, 'MATCH', 0.9957666666666667, 240000, 1016, 235619, 4381, 0.7680894772882904, 0, 0.0)
(0.1, 64, 13, 0.027086818058220385, 0.1, 0.000767723489079164, 'MATCH', 0.9708958333333333, 240000, 6985, 122592, 117408, 0.9405066094303625, 82, 0.0006984191877895885)
(0.2, 64, 13, 0.012957680877701272, 0.05, 0.00010442878710537062, 'MATCH', 0.9453374999999999, 240000, 13119, 116396, 123604, 0.8938626581664024, 512, 0.004142260768259927)
(0.3, 64, 13, 0.007600018993383547, 0.0, 0, 'MATCH', 0.9191958333333333, 240000, 19393, 110289, 129711, 0.8504907062623833, 1456, 0.011224953936057852)
(0.4, 64, 13, 0.007138385182993978, 0.0, 0, 'MATCH', 0.8878916666666666, 240000, 26906, 103645, 136355, 0.8026768361996259, 1790, 0.013127498074878076)
(0.1, 64, 14, 0.014679141804996021, 0.0, 0, 'MATCH', 0.9736333333333334, 240000, 6328, 130314, 109686, 0.9423080429589921, 526, 0.004795507175026895)
(0.2, 64, 14, 0.01638793779986228, 0.0, 0, 'MATCH', 0.9686916666666666, 240000, 7514, 172238, 67762, 0.8891118916206724, 591, 0.008721702429090051)
(0.3, 64, 14, 0.025583840183196115, 0.05, 0.0021201118798964136, 'MATCH', 0.9747958333333333, 240000, 6049, 203141, 36859, 0.8358881141647901, 489, 0.01326677337963591)
(0.4, 64, 14, 0.027404597498728728, 0.15, 0.003261360281896275, 'MATCH', 0.9819083333333334, 240000, 4342, 219197, 20803, 0.7912801038311782, 226, 0.01086381771859828)
(0.1, 64, 15, 0.02416136877761571, 0.1, 0.0007357565964888069, 'MATCH', 0.9742, 240000, 6192, 88971, 151029, 0.9590012514152911, 1247, 0.00825669242330943)
(0.2, 64, 15, 0.021655393085212166, 0.1, 0.002082650755630411, 'MATCH', 0.9425291666666666, 240000, 13793, 84490, 155510, 0.9113047392450646, 4420, 0.02842260947849013)
(0.3, 64, 15, 0.009991577324760342, 0.05, 0.0004706765372099464, 'MATCH', 0.9026833333333333, 240000, 23356, 79660, 160340, 0.8543345391044032, 10146, 0.06327803417737309)
(0.4, 64, 15, 0.00719476482561876, 0.1, 0.00022361919226193683, 'MATCH', 0.8537333333333333, 240000, 35104, 74122, 165878, 0.7883745885530329, 7308, 0.04405647524083965)
(0.1, 64, 16, 0.054305620678169186, 0.0, 0, 'MATCH', 0.9973208333333333, 240000, 643, 232762, 7238, 0.911163304780326, 0, 0.0)
(0.2, 64, 16, 0.08997988076419161, 0.05, 0.0034714019573159893, 'MATCH', 0.9973708333333333, 240000, 631, 235861, 4139, 0.8475477168398164, 0, 0.0)
(0.3, 64, 16, 0.06926846915226215, 0.15, 0.003519876608987227, 'MATCH', 0.9974041666666666, 240000, 623, 236749, 3251, 0.8083666564134113, 0, 0.0)
(0.4, 64, 16, 0.060441275062800975, 0.05, 0.003433553827633662, 'MATCH', 0.9971916666666667, 240000, 674, 237112, 2888, 0.7666204986149585, 0, 0.0)
(0.1, 64, 17, 0.025518391374635685, 0.1, 0.000697350256221807, 'MATCH', 0.963575, 240000, 8742, 110460, 129540, 0.9325150532654006, 1495, 0.01154083680716381)
(0.2, 64, 17, 0.011340305100111248, 0.0, 0, 'MATCH', 0.9365583333333334, 240000, 15226, 108989, 131011, 0.8837807512346292, 4164, 0.03178359069085802)
(0.3, 64, 17, 0.01081124550333527, 0.05, 0.0004888681879282042, 'MATCH', 0.9125041666666667, 240000, 20999, 107665, 132335, 0.8413193788491329, 6993, 0.05284316318434277)
(0.4, 64, 17, 0.0074896682435529605, 0.05, 7.71567891592051e-05, 'MATCH', 0.8854208333333333, 240000, 27499, 104217, 135783, 0.797478329393223, 7366, 0.054248322691353115)
(0.1, 64, 18, 0.028200198028378032, 0.1, 0.00018282999534660616, 'MATCH', 0.9978625, 240000, 513, 177180, 62820, 0.9918338108882522, 0, 0.0)
(0.2, 64, 18, 0.026050187639621858, 0.05, 0.0012491388271509418, 'MATCH', 0.9931916666666667, 240000, 1634, 192359, 47641, 0.9657018114649146, 0, 0.0)
(0.3, 64, 18, 0.018994689887224896, 0.0, 0, 'MATCH', 0.99285, 240000, 1716, 215506, 24494, 0.9299420266187638, 0, 0.0)
(0.4, 64, 18, 0.01931196962840831, 0.0, 0, 'MATCH', 0.9935083333333333, 240000, 1558, 227477, 12523, 0.8755889163938353, 0, 0.0)
(0.1, 64, 19, 0.017352346349390202, 0.0, 0, 'MATCH', 0.9592875, 240000, 9771, 97869, 142131, 0.9312535618549085, 206, 0.0014493671331377391)
(0.2, 64, 19, 0.014139504617926013, 0.05, 0.00054832631842755, 'MATCH', 0.9283666666666667, 240000, 17192, 92634, 147366, 0.8833380834113703, 1424, 0.009663015892403946)
(0.3, 64, 19, 0.014878558012749177, 0.05, 0.0018683209885798635, 'MATCH', 0.9020083333333333, 240000, 23518, 88059, 151941, 0.8452162352492085, 4180, 0.027510678487044315)
(0.4, 64, 19, 0.006931484628592277, 0.05, 3.746526927628224e-05, 'MATCH', 0.8734166666666667, 240000, 30380, 84627, 155373, 0.8044705322031498, 3647, 0.02347254671017487)
(0.1, 64, 20, 0.05040265363902244, 0.05, 0.0013375684657520592, 'MATCH', 0.9944625, 240000, 1329, 210270, 29730, 0.955297679112008, 1396, 0.04695593676421123)
(0.2, 64, 20, 0.04164793580239162, 0.05, 0.0014619527411808275, 'MATCH', 0.9930333333333333, 240000, 1672, 222428, 17572, 0.9048486228090143, 1524, 0.08672888686546779)
(0.3, 64, 20, 0.03344596404104894, 0.05, 0.001147668402169566, 'MATCH', 0.9920583333333334, 240000, 1906, 227308, 12692, 0.8498266624645446, 1461, 0.11511188150015758)
(0.4, 64, 20, 0.021081678221019223, 0.0, 0, 'MATCH', 0.9923083333333333, 240000, 1846, 230445, 9555, 0.8068027210884354, 999, 0.10455259026687598)
(0.1, 64, 21, 0.016716153526274147, 0.0, 0, 'MATCH', 0.9662458333333334, 240000, 8101, 106090, 133910, 0.9395041445747143, 0, 0.0)
(0.2, 64, 21, 0.012979272241378792, 0.1, 0.00024095695817427654, 'MATCH', 0.9453791666666667, 240000, 13109, 99987, 140013, 0.9063729796518895, 0, 0.0)
(0.3, 64, 21, 0.01040511887795322, 0.05, 0.0004831191674499191, 'MATCH', 0.9199166666666667, 240000, 19220, 93510, 146490, 0.8687965048808792, 0, 0.0)
(0.4, 64, 21, 0.010731493875173193, 0.15, 0.001541240299137936, 'MATCH', 0.8834333333333333, 240000, 27976, 88001, 151999, 0.8159461575405101, 0, 0.0)
(0.1, 64, 22, 0.024879349958250724, 0.1, 0.0004573887099419832, 'MATCH', 0.994, 240000, 1440, 131265, 108735, 0.9867567940405573, 109, 0.0010024371177633697)
(0.2, 64, 22, 0.015638314877836068, 0.15, 0.00038073138376326643, 'MATCH', 0.9841583333333334, 240000, 3802, 135027, 104973, 0.9637811627751898, 806, 0.007678164861440561)
(0.3, 64, 22, 0.008735690393828119, 0.0, 0, 'MATCH', 0.9747125, 240000, 6069, 151033, 88967, 0.9317836950779502, 1538, 0.017287308777411848)
(0.4, 64, 22, 0.009523657235464694, 0.0, 0, 'MATCH', 0.9722333333333333, 240000, 6664, 179270, 60730, 0.8902684011197102, 1326, 0.021834348756792358)
(0.1, 64, 23, 0.02010085720364513, 0.15, 0.0002815869882660804, 'MATCH', 0.9643583333333333, 240000, 8554, 96502, 143498, 0.9403894130928654, 0, 0.0)
(0.2, 64, 23, 0.013469946259252186, 0.15, 0.00045026417344257164, 'MATCH', 0.9373208333333334, 240000, 15043, 87307, 152693, 0.901482058771522, 0, 0.0)
(0.3, 64, 23, 0.008328041566687538, 0.0, 0, 'MATCH', 0.9075916666666667, 240000, 22178, 78643, 161357, 0.8625532204986459, 0, 0.0)
(0.4, 64, 23, 0.007324801448527762, 0.05, 0.00032294915920616507, 'MATCH', 0.868725, 240000, 31506, 68931, 171069, 0.8158287006997177, 0, 0.0)
(0.1, 64, 24, 0.04980603423591412, 0.0, 0, 'MATCH', 0.9961083333333334, 240000, 934, 229157, 10843, 0.91386147745089, 0, 0.0)
(0.2, 64, 24, 0.044890635594109635, 0.0, 0, 'MATCH', 0.9963291666666667, 240000, 881, 233836, 6164, 0.8570733290071382, 0, 0.0)
(0.3, 64, 24, 0.03081894084254781, 0.0, 0, 'MATCH', 0.9963, 240000, 888, 235131, 4869, 0.8176216882316698, 0, 0.0)
(0.4, 64, 24, 0.03877214199914977, 0.0, 0, 'MATCH', 0.996175, 240000, 918, 235774, 4226, 0.7827733080927591, 0, 0.0)
(0.1, 64, 25, 0.014925540517245761, 0.0, 0, 'MATCH', 0.9874583333333333, 240000, 3010, 111948, 128052, 0.9764939243432356, 0, 0.0)
(0.2, 64, 25, 0.013848534627436127, 0.1, 0.00033740289521314026, 'MATCH', 0.972425, 240000, 6618, 107554, 132446, 0.9500324660616402, 0, 0.0)
