alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 7, 0, 0.021332081310502654, 0.05, 0.0007226745755589126, 'MATCH', 0.9115708333333333, 240000, 21223, 26238, 213762, 0.9007166849112564, 0, 0.0)
(0.2, 7, 0, 0.010935876513240156, 0.05, 0.00018021922604316565, 'MATCH', 0.8382583333333333, 240000, 38818, 46612, 193388, 0.799273998386663, 0, 0.0)
(0.3, 7, 0, 0.007309357000080212, 0.0, 0, 'MATCH', 0.7798333333333334, 240000, 52840, 64570, 175430, 0.6987972410648122, 0, 0.0)
(0.4, 7, 0, 0.0071282028035365985, 0.05, 0.00017281540017144437, 'MATCH', 0.7916583333333334, 240000, 50002, 79397, 160603, 0.6886608593861883, 0, 0.0)
(0.1, 7, 1, 0.059219438468229996, 0.0, 0, 'MATCH', 0.99985, 240000, 36, 227385, 12615, 0.9971462544589774, 0, 0.0)
(0.2, 7, 1, 0.04392100712218461, 0.05, 0.0008653251962792985, 'MATCH', 0.9994041666666666, 240000, 143, 228024, 11976, 0.988059452237809, 0, 0.0)
(0.3, 7, 1, 0.033892993578775364, 0.05, 0.00047794559592923003, 'MATCH', 0.9988708333333334, 240000, 271, 228010, 11990, 0.9773978315262719, 0, 0.0)
(0.4, 7, 1, 0.01841270627450195, 0.0, 0, 'MATCH', 0.998275, 240000, 414, 227777, 12223, 0.966129428127301, 0, 0.0)
(0.1, 7, 2, 0.01986986921610423, 0.05, 9.498872079830023e-05, 'MATCH', 0.9815333333333334, 240000, 4432, 120196, 119804, 0.9630062435311008, 0, 0.0)
(0.2, 7, 2, 0.01294056743364469, 0.0, 0, 'MATCH', 0.9695958333333333, 240000, 7297, 129807, 110193, 0.9337798226747616, 0, 0.0)
(0.3, 7, 2, 0.008426384469431003, 0.0, 0, 'MATCH', 0.9607458333333333, 240000, 9421, 135631, 104369, 0.9097337331966389, 0, 0.0)
(0.4, 7, 2, 0.007745169752579467, 0.0, 0, 'MATCH', 0.9638875, 240000, 8667, 139912, 100088, 0.9134062025417633, 0, 0.0)
(0.1, 7, 3, 0.10119083914316596, 0.05, 0.00018184013355301842, 'MATCH', 1.0, 240000, 0, 236036, 3964, 1.0, 0, 0.0)
(0.2, 7, 3, 0.15073952867075052, 0.1, 0.010510152798868022, 'MATCH', 1.0, 240000, 0, 237639, 2361, 1.0, 0, 0.0)
(0.3, 7, 3, 0.06901078503111946, 0.0, 0, 'MATCH', 1.0, 240000, 0, 238171, 1829, 1.0, 0, 0.0)
(0.4, 7, 3, 0.07127810152439434, 0.05, 0.0011566552148134512, 'MATCH', 1.0, 240000, 0, 238377, 1623, 1.0, 0, 0.0)
(0.1, 7, 4, 0.028226278498010987, 0.05, 0.0003696985430824973, 'MATCH', 0.98575, 240000, 3420, 165378, 74622, 0.9541690118195706, 0, 0.0)
(0.2, 7, 4, 0.021296078331023427, 0.2, 0.0006580939302068267, 'MATCH', 0.9818208333333334, 240000, 4363, 178279, 61721, 0.9293109314495877, 0, 0.0)
(0.3, 7, 4, 0.018992240525814535, 0.1, 0.0014325676358836192, 'MATCH', 0.9791416666666667, 240000, 5006, 182203, 57797, 0.9133865079502397, 0, 0.0)
(0.4, 7, 4, 0.010696716141375961, 0.0, 0, 'MATCH', 0.9757583333333333, 240000, 5818, 180997, 59003, 0.9013948443299493, 0, 0.0)
(0.1, 7, 5, 0.057422980046998584, 0.0, 0, 'MATCH', 1.0, 240000, 0, 228709, 11291, 1.0, 0, 0.0)
(0.2, 7, 5, 0.0583381717237251, 0.05, 0.0030389110227416194, 'MATCH', 1.0, 240000, 0, 229915, 10085, 1.0, 0, 0.0)
(0.3, 7, 5, 0.020646150612375812, 0.0, 0, 'MATCH', 1.0, 240000, 0, 230601, 9399, 1.0, 0, 0.0)
(0.4, 7, 5, 0.026861047386226994, 0.0, 0, 'MATCH', 1.0, 240000, 0, 230876, 9124, 1.0, 0, 0.0)
(0.1, 7, 6, 0.025063621969886596, 0.0, 0, 'MATCH', 0.9979875, 240000, 483, 174673, 65327, 0.9926064261331455, 0, 0.0)
(0.2, 7, 6, 0.017858908956759623, 0.05, 9.21849725017132e-05, 'MATCH', 0.9965208333333333, 240000, 835, 177665, 62335, 0.9866046362396728, 0, 0.0)
(0.3, 7, 6, 0.016096127867831583, 0.1, 0.0007703407647671745, 'MATCH', 0.9959041666666667, 240000, 983, 178756, 61244, 0.9839494481092025, 0, 0.0)
(0.4, 7, 6, 0.012069081507893459, 0.15, 0.0004667807910317956, 'MATCH', 0.9945416666666667, 240000, 1310, 178786, 61214, 0.978599666742902, 0, 0.0)
(0.1, 7, 8, 0.013784973679155377, 0.0, 0, 'MATCH', 0.9117875, 240000, 21171, 25505, 214495, 0.9012983985640691, 0, 0.0)
(0.2, 7, 8, 0.01228683401821612, 0.1, 0.0004586396646508728, 'MATCH', 0.8470333333333333, 240000, 36712, 44563, 195437, 0.8121543003627767, 0, 0.0)
(0.3, 7, 8, 0.01022738191817659, 0.1, 0.0006823937086529175, 'MATCH', 0.7988875, 240000, 48267, 59973, 180027, 0.7318902164675298, 0, 0.0)
(0.4, 7, 8, 0.004617088164216576, 0.0, 0, 'MATCH', 0.7737541666666666, 240000, 54299, 71531, 168469, 0.6776914447168322, 0, 0.0)
(0.1, 7, 9, 0.020731015887009707, 0.0, 0, 'MATCH', 0.9941458333333333, 240000, 1405, 177050, 62950, 0.9776806989674345, 0, 0.0)
(0.2, 7, 9, 0.02956520395590731, 0.1, 0.0020609811569953507, 'MATCH', 0.9890166666666667, 240000, 2636, 184974, 55026, 0.9520953730963545, 0, 0.0)
(0.3, 7, 9, 0.018515883103408053, 0.15, 0.0009137875665389261, 'MATCH', 0.9855375, 240000, 3471, 192891, 47109, 0.9263198115009871, 0, 0.0)
(0.4, 7, 9, 0.014367009291701566, 0.05, 0.0002347579381246634, 'MATCH', 0.9835666666666667, 240000, 3944, 199928, 40072, 0.901577161110002, 0, 0.0)
(0.1, 7, 10, 0.022264800960165587, 0.1, 0.00011344451175310244, 'MATCH', 0.9779583333333334, 240000, 5290, 140350, 99650, 0.9469141996989463, 129, 0.0012945308580030106)
(0.2, 7, 10, 0.014296098386337164, 0.05, 7.898444841300534e-05, 'MATCH', 0.9613666666666667, 240000, 9272, 140162, 99838, 0.9071295498707906, 455, 0.004557382960395841)
(0.3, 7, 10, 0.010271143565195318, 0.0, 0, 'MATCH', 0.947175, 240000, 12678, 139221, 100779, 0.8741999821391362, 928, 0.009208267595431589)
(0.4, 7, 10, 0.0043667302396395435, 0.0, 0, 'MATCH', 0.9349291666666667, 240000, 15617, 137027, 102973, 0.8483388849504239, 1556, 0.01511075718877764)
(0.1, 7, 11, 0.027569190322039583, 0.0, 0, 'MATCH', 1.0, 240000, 0, 198686, 41314, 1.0, 0, 0.0)
