alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 10, 0, 0.202453183456206, 0.15, 0.004637473421641974, 'MATCH', 0.9994375, 240000, 135, 238575, 1425, 0.9052631578947369, 0, 0.0)
(0.2, 10, 0, 0.12810925238146753, 0.05, 0.004946579619082153, 'MATCH', 0.9988541666666667, 240000, 275, 238333, 1667, 0.8350329934013198, 0, 0.0)
(0.3, 10, 0, 0.1538308390951726, 0.1, 0.022708783696523904, 'MATCH', 0.9982, 240000, 432, 238129, 1871, 0.7691074291822555, 0, 0.0)
(0.4, 10, 0, 0.08205802591937386, 0.15, 0.009851562533389036, 'MATCH', 0.9978666666666667, 240000, 512, 237885, 2115, 0.757919621749409, 0, 0.0)
(0.1, 10, 1, 0.022600855571670575, 0.15, 0.00045059206639663785, 'MATCH', 0.9600125, 240000, 9597, 103968, 136032, 0.9294504234297812, 751, 0.005520759821218537)
(0.2, 10, 1, 0.010039311774876075, 0.0, 0, 'MATCH', 0.9274916666666667, 240000, 17402, 100675, 139325, 0.8750977929301992, 2926, 0.02100125605598421)
(0.3, 10, 1, 0.01195721455308126, 0.15, 0.0009001253312232449, 'MATCH', 0.9012333333333333, 240000, 23704, 99922, 140078, 0.830779994003341, 6126, 0.04373277745256214)
(0.4, 10, 1, 0.007798394597645086, 0.05, 0.0002446441597058202, 'MATCH', 0.8762916666666667, 240000, 29690, 99430, 140570, 0.7887885039482109, 8023, 0.05707476701999004)
(0.1, 10, 2, 0.25872794198907784, 0.05, 0.0017648664127100783, 'MATCH', 0.999875, 240000, 30, 239284, 716, 0.9581005586592178, 0, 0.0)
(0.2, 10, 2, 0.12127565981736838, 0.0, 0, 'MATCH', 0.9997583333333333, 240000, 58, 239273, 727, 0.9202200825309491, 0, 0.0)
(0.3, 10, 2, 0.19107492248094235, 0.15, 0.023598055057112266, 'MATCH', 0.999575, 240000, 102, 239205, 795, 0.8716981132075472, 0, 0.0)
(0.4, 10, 2, 0.13561403663848115, 0.05, 0.017869171277016815, 'MATCH', 0.9994333333333333, 240000, 136, 239165, 835, 0.837125748502994, 0, 0.0)
(0.1, 10, 3, 0.02870839419951865, 0.05, 0.0005821732228963317, 'MATCH', 0.9714625, 240000, 6849, 159571, 80429, 0.9148441482549826, 2275, 0.028285817304703528)
(0.2, 10, 3, 0.018437085950001875, 0.05, 0.00025102059794337994, 'MATCH', 0.9605541666666667, 240000, 9467, 176235, 63765, 0.85153297263389, 5715, 0.08962597035991532)
(0.3, 10, 3, 0.012880425814659943, 0.0, 0, 'MATCH', 0.9567541666666667, 240000, 10379, 185669, 54331, 0.8089672562625388, 9770, 0.1798236734092875)
(0.4, 10, 3, 0.01204165569215071, 0.0, 0, 'MATCH', 0.956725, 240000, 10386, 191478, 48522, 0.7859527636948188, 11046, 0.22764931371336714)
(0.1, 10, 4, 0.049997897353023235, 0.0, 0, 'MATCH', 0.9970375, 240000, 711, 229661, 10339, 0.9312312602766225, 427, 0.04129993229519296)
(0.2, 10, 4, 0.052044686221332376, 0.05, 0.0004330934806062725, 'MATCH', 0.9961416666666667, 240000, 926, 232585, 7415, 0.875118004045853, 574, 0.07741065407956844)
