alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 191, 0, 0.014412324959677536, 0.05, 9.633247956508662e-05, 'MATCH', 0.9011333333333333, 240000, 23728, 2690, 237310, 0.9000126416923012, 0, 0.0)
(0.2, 191, 0, 0.009882157366295219, 0.05, 0.00015830722972029476, 'MATCH', 0.8068833333333334, 240000, 46348, 7805, 232195, 0.800391911970542, 0, 0.0)
(0.3, 191, 0, 0.004699599834352974, 0.0, 0, 'MATCH', 0.7242791666666666, 240000, 66173, 13867, 226133, 0.707371325724242, 0, 0.0)
(0.4, 191, 0, 0.004991333719022023, 0.0, 0, 'MATCH', 0.6662666666666667, 240000, 80096, 20562, 219438, 0.634994850481685, 0, 0.0)
(0.1, 191, 1, 0.020309583480543486, 0.05, 0.00024287726557326028, 'MATCH', 0.9931291666666666, 240000, 1649, 100728, 139272, 0.9881598598426101, 0, 0.0)
(0.2, 191, 1, 0.014679536982459968, 0.05, 0.0006689435725258097, 'MATCH', 0.9690625, 240000, 7425, 89447, 150553, 0.9506818196914043, 0, 0.0)
(0.3, 191, 1, 0.0056208152793222705, 0.0, 0, 'MATCH', 0.9272208333333334, 240000, 17467, 79020, 160980, 0.8914958379922971, 0, 0.0)
(0.4, 191, 1, 0.007399244231351687, 0.05, 0.0003438477984736288, 'MATCH', 0.8720208333333334, 240000, 30715, 69469, 170531, 0.8198861204121245, 0, 0.0)
(0.1, 191, 2, 0.018481994741150753, 0.1, 0.00030947825476795865, 'MATCH', 0.95925, 240000, 9780, 53671, 186329, 0.9475121961691417, 0, 0.0)
(0.2, 191, 2, 0.0127967028493918, 0.15, 0.0005063542824134126, 'MATCH', 0.9193875, 240000, 19347, 59012, 180988, 0.89310341017084, 0, 0.0)
(0.3, 191, 2, 0.008766744997235806, 0.05, 0.000235241828049515, 'MATCH', 0.8742291666666666, 240000, 30185, 62117, 177883, 0.8303098103809807, 0, 0.0)
(0.4, 191, 2, 0.007006658793805853, 0.05, 0.00022941353993544134, 'MATCH', 0.8322125, 240000, 40269, 64098, 175902, 0.7710713920251049, 0, 0.0)
(0.1, 191, 3, 0.025290385248804975, 0.05, 0.0006515471998101985, 'MATCH', 0.9952083333333334, 240000, 1150, 118542, 121458, 0.9905317064334996, 0, 0.0)
(0.2, 191, 3, 0.010428748554855705, 0.0, 0, 'MATCH', 0.9794791666666667, 240000, 4925, 111230, 128770, 0.9617535140172401, 0, 0.0)
(0.3, 191, 3, 0.012640014307208625, 0.1, 0.0010405417246082127, 'MATCH', 0.9517, 240000, 11592, 104242, 135758, 0.9146127668351036, 0, 0.0)
(0.4, 191, 3, 0.008458915327275718, 0.1, 0.0005350929721258946, 'MATCH', 0.9134916666666667, 240000, 20762, 96420, 143580, 0.8553976877002368, 0, 0.0)
(0.1, 191, 4, 0.0156956744014633, 0.05, 2.6193814021330253e-05, 'MATCH', 0.9606, 240000, 9456, 53734, 186266, 0.9492338913167191, 0, 0.0)
(0.2, 191, 4, 0.007821386529178603, 0.0, 0, 'MATCH', 0.9262958333333333, 240000, 17689, 56476, 183524, 0.9036147860770254, 0, 0.0)
(0.3, 191, 4, 0.011810798420213894, 0.05, 0.0011799645568369432, 'MATCH', 0.8953416666666667, 240000, 25118, 58289, 181711, 0.861769513127989, 0, 0.0)
(0.4, 191, 4, 0.006013209759643812, 0.0, 0, 'MATCH', 0.8676708333333334, 240000, 31759, 59385, 180615, 0.8241618913157822, 0, 0.0)
(0.1, 191, 5, 0.01714041850460729, 0.0, 0, 'MATCH', 0.9959, 240000, 984, 111194, 128806, 0.9923606043196745, 0, 0.0)
(0.2, 191, 5, 0.019521526272016504, 0.05, 0.0014854701469487752, 'MATCH', 0.98275, 240000, 4140, 105020, 134980, 0.9693287894502889, 0, 0.0)
(0.3, 191, 5, 0.010168585752217315, 0.15, 0.00036065153184039467, 'MATCH', 0.958225, 240000, 10026, 97236, 142764, 0.9297722114818862, 0, 0.0)
(0.4, 191, 5, 0.0069465307712106295, 0.0, 0, 'MATCH', 0.9237083333333334, 240000, 18310, 90324, 149676, 0.8776690985862797, 0, 0.0)
(0.1, 191, 6, 0.016644819672727018, 0.0, 0, 'MATCH', 0.9874875, 240000, 3003, 91693, 148307, 0.9797514614954116, 0, 0.0)
(0.2, 191, 6, 0.01156905072314543, 0.05, 4.1096886454872195e-05, 'MATCH', 0.9691291666666667, 240000, 7409, 91553, 148447, 0.9500899310865157, 0, 0.0)
(0.3, 191, 6, 0.011979438760881256, 0.15, 0.0009904531696676155, 'MATCH', 0.9473208333333334, 240000, 12643, 90801, 149199, 0.9152608261449473, 0, 0.0)
(0.4, 191, 6, 0.0055400164005947605, 0.0, 0, 'MATCH', 0.9225875, 240000, 18579, 89127, 150873, 0.8768566940406832, 0, 0.0)
