alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 46, 0, 0.12065277812636915, 0.05, 0.0011718222359630714, 'MATCH', 0.9989416666666666, 240000, 254, 236677, 3323, 0.9235630454408666, 0, 0.0)
(0.2, 46, 0, 0.04343779895580657, 0.0, 0, 'MATCH', 0.9976541666666666, 240000, 563, 235904, 4096, 0.862548828125, 0, 0.0)
(0.3, 46, 0, 0.05723754643607082, 0.15, 0.003165943787829806, 'MATCH', 0.9959333333333333, 240000, 976, 234897, 5103, 0.8087399568881051, 0, 0.0)
(0.4, 46, 0, 0.026572397081914556, 0.0, 0, 'MATCH', 0.9942208333333333, 240000, 1387, 233189, 6811, 0.7963588313023051, 0, 0.0)
(0.1, 46, 1, 0.01438216643032203, 0.0, 0, 'MATCH', 0.9596, 240000, 9696, 86973, 153027, 0.9366386323982042, 0, 0.0)
(0.2, 46, 1, 0.01217861876274165, 0.1, 0.00027897128761267265, 'MATCH', 0.9182166666666667, 240000, 19628, 74311, 165689, 0.8815370966087067, 0, 0.0)
(0.3, 46, 1, 0.010991714133288071, 0.1, 0.0008625745273154184, 'MATCH', 0.8697041666666667, 240000, 31271, 68936, 171064, 0.8171970724407239, 0, 0.0)
(0.4, 46, 1, 0.003782681520529685, 0.0, 0, 'MATCH', 0.8258166666666666, 240000, 41804, 67093, 172907, 0.7582284118051901, 0, 0.0)
(0.1, 46, 2, 0.04303276914537052, 0.05, 0.0006627084743114631, 'MATCH', 0.9872583333333333, 240000, 3058, 207247, 32753, 0.9066345067627393, 0, 0.0)
(0.2, 46, 2, 0.028305005675117872, 0.1, 0.0010123861174950455, 'MATCH', 0.9725625, 240000, 6585, 205145, 34855, 0.8110744512982355, 0, 0.0)
(0.3, 46, 2, 0.01910174228582029, 0.05, 0.00045473665356848825, 'MATCH', 0.9564583333333333, 240000, 10450, 203017, 36983, 0.7174377416650894, 0, 0.0)
(0.4, 46, 2, 0.014072529840785664, 0.05, 0.0001532119649767516, 'MATCH', 0.9384375, 240000, 14775, 200850, 39150, 0.6226053639846743, 0, 0.0)
(0.1, 46, 3, 0.013173293438931977, 0.0, 0, 'MATCH', 0.9674791666666667, 240000, 7805, 126583, 113417, 0.9311831559642735, 0, 0.0)
(0.2, 46, 3, 0.013522821923395156, 0.05, 9.464862401947771e-05, 'MATCH', 0.9451041666666666, 240000, 13175, 124713, 115287, 0.885719985774632, 0, 0.0)
(0.3, 46, 3, 0.013444720319534439, 0.2, 0.001063141185082217, 'MATCH', 0.9273125, 240000, 17445, 123842, 116158, 0.8498166290741921, 0, 0.0)
(0.4, 46, 3, 0.00632558683423684, 0.0, 0, 'MATCH', 0.9146625, 240000, 20481, 124975, 115025, 0.8219430558574223, 0, 0.0)
(0.1, 46, 4, 0.08388010479543462, 0.05, 0.0021696642193439614, 'MATCH', 0.9999208333333334, 240000, 19, 229475, 10525, 0.9981947743467934, 0, 0.0)
(0.2, 46, 4, 0.04449330780987443, 0.0, 0, 'MATCH', 0.9997333333333334, 240000, 64, 231549, 8451, 0.9924269317240563, 0, 0.0)
(0.3, 46, 4, 0.03137445067639966, 0.0, 0, 'MATCH', 0.999425, 240000, 138, 231174, 8826, 0.9843643779741672, 0, 0.0)
(0.4, 46, 4, 0.023129127212036527, 0.0, 0, 'MATCH', 0.998525, 240000, 354, 229839, 10161, 0.965160909359315, 0, 0.0)
