alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 109, 0, 0.015229906788860048, 0.05, 5.48051932893201e-05, 'MATCH', 0.9179291666666667, 240000, 19697, 35623, 204377, 0.9036241847174584, 0, 0.0)
(0.2, 109, 0, 0.012070406694883462, 0.05, 0.00036646384936311893, 'MATCH', 0.8618291666666666, 240000, 33161, 54333, 185667, 0.8213952937247868, 0, 0.0)
(0.3, 109, 0, 0.006998279966736742, 0.0, 0, 'MATCH', 0.8260333333333334, 240000, 41752, 66313, 173687, 0.7596135577216487, 0, 0.0)
(0.4, 109, 0, 0.007604083745963164, 0.1, 0.0003999611995246788, 'MATCH', 0.8481666666666667, 240000, 36440, 74331, 165669, 0.780043339429827, 0, 0.0)
(0.1, 109, 1, 0.03648386630696818, 0.0, 0, 'MATCH', 0.9997375, 240000, 63, 209169, 30831, 0.9979566021212416, 0, 0.0)
(0.2, 109, 1, 0.01725100957509329, 0.0, 0, 'MATCH', 0.9980791666666666, 240000, 461, 197913, 42087, 0.9890464989189061, 0, 0.0)
(0.3, 109, 1, 0.012139763782141507, 0.0, 0, 'MATCH', 0.9933, 240000, 1608, 179688, 60312, 0.9733386390768006, 0, 0.0)
(0.4, 109, 1, 0.009867468439853366, 0.05, 0.00017914966024967782, 'MATCH', 0.9851875, 240000, 3555, 157601, 82399, 0.9568562725275792, 0, 0.0)
(0.1, 109, 2, 0.021409558439791088, 0.05, 0.0006426452188785514, 'MATCH', 0.9402833333333334, 240000, 14332, 41960, 198040, 0.9276307816602707, 187, 0.0009442536861240154)
(0.2, 109, 2, 0.014514381074646754, 0.1, 0.000933198269828267, 'MATCH', 0.8788625, 240000, 29073, 42790, 197210, 0.8525784696516404, 643, 0.003260483748288626)
(0.3, 109, 2, 0.006211322944782624, 0.0, 0, 'MATCH', 0.8203374999999999, 240000, 43119, 44198, 195802, 0.7797826375624355, 1047, 0.005347238536889306)
(0.4, 109, 2, 0.00675270428817612, 0.1, 0.00025258297862951196, 'MATCH', 0.7787833333333334, 240000, 53092, 46230, 193770, 0.7260050575424473, 2158, 0.01113691489910719)
(0.1, 109, 3, 0.02666463447356715, 0.0, 0, 'MATCH', 0.9971875, 240000, 675, 187937, 52063, 0.9870349384399669, 345, 0.0066265870195724415)
(0.2, 109, 3, 0.017667900319974783, 0.0, 0, 'MATCH', 0.9912958333333334, 240000, 2089, 182160, 57840, 0.9638831258644537, 549, 0.009491701244813277)
