alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 148, 0, 0.15432405563325202, 0.05, 0.003282921511014905, 'MATCH', 0.9990916666666667, 240000, 218, 237506, 2494, 0.9125902165196471, 0, 0.0)
(0.2, 148, 0, 0.07868251910788479, 0.0, 0, 'MATCH', 0.9981958333333333, 240000, 433, 236925, 3075, 0.8591869918699186, 0, 0.0)
(0.3, 148, 0, 0.06063547119704897, 0.1, 0.0020186178856895776, 'MATCH', 0.9971125, 240000, 693, 236093, 3907, 0.8226260557972869, 0, 0.0)
(0.4, 148, 0, 0.033831092731780865, 0.0, 0, 'MATCH', 0.996175, 240000, 918, 235245, 4755, 0.8069400630914827, 0, 0.0)
(0.1, 148, 1, 0.02477856137836021, 0.1, 0.0008529163847508792, 'MATCH', 0.9586125, 240000, 9933, 70578, 169422, 0.9413712504869497, 2773, 0.01636741391318719)
(0.2, 148, 1, 0.015289727531338365, 0.1, 0.0008855849096800761, 'MATCH', 0.920575, 240000, 19062, 77896, 162104, 0.8824088239648621, 4144, 0.02556383556235503)
(0.3, 148, 1, 0.008958396933890778, 0.05, 0.00016206816017472203, 'MATCH', 0.8892458333333333, 240000, 26581, 81808, 158192, 0.8319700111257207, 5286, 0.03341509052290887)
(0.4, 148, 1, 0.007492953905250399, 0.1, 0.0002792762984294983, 'MATCH', 0.8687291666666667, 240000, 31505, 83949, 156051, 0.798110874009138, 4628, 0.029656971118416416)
(0.1, 148, 2, 0.05105552728774526, 0.05, 0.0007521908288678214, 'MATCH', 0.9933041666666667, 240000, 1607, 214208, 25792, 0.937693858560794, 0, 0.0)
(0.2, 148, 2, 0.027971548586392947, 0.0, 0, 'MATCH', 0.9921166666666666, 240000, 1892, 220627, 19373, 0.9023383058896403, 0, 0.0)
(0.3, 148, 2, 0.03138020922102007, 0.05, 0.0017317721231963623, 'MATCH', 0.9914166666666666, 240000, 2060, 221445, 18555, 0.8889787119374831, 0, 0.0)
(0.4, 148, 2, 0.017342050635976713, 0.0, 0, 'MATCH', 0.9896083333333333, 240000, 2494, 219914, 20086, 0.875833914169073, 0, 0.0)
(0.1, 148, 3, 0.015156261919428426, 0.0, 0, 'MATCH', 0.9548041666666667, 240000, 10847, 54076, 185924, 0.9416589574234634, 2479, 0.013333405047223596)
(0.2, 148, 3, 0.013794549255930766, 0.05, 0.000697613241771422, 'MATCH', 0.9159458333333333, 240000, 20173, 59930, 180070, 0.8879713444771478, 4406, 0.02446826234242239)
(0.3, 148, 3, 0.008128621175770845, 0.05, 3.9607391144058646e-05, 'MATCH', 0.8821958333333333, 240000, 28273, 62073, 177927, 0.8410977535730946, 5016, 0.028191336896592423)
(0.4, 148, 3, 0.005866294244958048, 0.0, 0, 'MATCH', 0.8581291666666666, 240000, 34049, 63063, 176937, 0.8075642742897189, 4704, 0.026585733905288324)
(0.1, 148, 4, 0.0953804196640333, 0.15, 0.003222857665259482, 'MATCH', 1.0, 240000, 0, 230369, 9631, 1.0, 0, 0.0)
(0.2, 148, 4, 0.07011100460339134, 0.1, 0.003132849897263368, 'MATCH', 0.999975, 240000, 6, 233247, 6753, 0.9991115059973346, 0, 0.0)
