alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 106, 0, 0.13108993191323748, 0.05, 0.0005694258075912562, 'MATCH', 0.9989208333333334, 240000, 259, 236966, 3034, 0.9146341463414634, 0, 0.0)
(0.2, 106, 0, 0.06778016168848933, 0.0, 0, 'MATCH', 0.9978916666666666, 240000, 506, 236670, 3330, 0.848048048048048, 0, 0.0)
(0.3, 106, 0, 0.05658537203127201, 0.05, 0.000988088335309667, 'MATCH', 0.99675, 240000, 780, 236101, 3899, 0.7999487047961016, 0, 0.0)
(0.4, 106, 0, 0.045856579407950876, 0.05, 0.00247846994968437, 'MATCH', 0.9956875, 240000, 1035, 235343, 4657, 0.7777539188318661, 0, 0.0)
(0.1, 106, 1, 0.018413193685273416, 0.1, 0.00017541241210203284, 'MATCH', 0.9635166666666667, 240000, 8756, 79861, 160139, 0.9453225010771892, 72, 0.0004496094018321583)
(0.2, 106, 1, 0.013540736897560135, 0.05, 0.0005434221123074567, 'MATCH', 0.9344, 240000, 15744, 75616, 164384, 0.9042242554019856, 527, 0.0032059081175783532)
(0.3, 106, 1, 0.0076801468989057264, 0.0, 0, 'MATCH', 0.908825, 240000, 21882, 76864, 163136, 0.8658665162808945, 900, 0.005516869360533543)
(0.4, 106, 1, 0.0069609246214122344, 0.05, 9.516553958488494e-05, 'MATCH', 0.8920041666666667, 240000, 25919, 79168, 160832, 0.8388442598487863, 1388, 0.008630123358535614)
(0.1, 106, 2, 0.1271648180302619, 0.0, 0, 'MATCH', 0.9997125, 240000, 69, 237847, 2153, 0.9679516953088714, 0, 0.0)
(0.2, 106, 2, 0.09951405989210543, 0.05, 0.002533019403493153, 'MATCH', 0.9993708333333333, 240000, 151, 237668, 2332, 0.9352487135506004, 0, 0.0)
(0.3, 106, 2, 0.078922155124595, 0.1, 0.0046944287215717195, 'MATCH', 0.9989458333333333, 240000, 253, 237280, 2720, 0.9069852941176471, 0, 0.0)
(0.4, 106, 2, 0.07648373163795116, 0.1, 0.012031566133618887, 'MATCH', 0.9985125, 240000, 357, 236823, 3177, 0.8876298394711992, 0, 0.0)
(0.1, 106, 3, 0.017766080385503147, 0.0, 0, 'MATCH', 0.9738458333333333, 240000, 6277, 133366, 106634, 0.9411350976236472, 0, 0.0)
(0.2, 106, 3, 0.015580021523963622, 0.1, 0.00021262356125517634, 'MATCH', 0.9645625, 240000, 8505, 146682, 93318, 0.9088600270044365, 0, 0.0)
(0.3, 106, 3, 0.014549873861522586, 0.05, 0.0009123074727673264, 'MATCH', 0.9610916666666667, 240000, 9338, 155748, 84252, 0.8891658358258557, 0, 0.0)
(0.4, 106, 3, 0.008488933001322141, 0.0, 0, 'MATCH', 0.9600958333333334, 240000, 9577, 160821, 79179, 0.8790462117480645, 0, 0.0)
(0.1, 106, 4, 0.10241125258194261, 0.05, 0.004681591230234039, 'MATCH', 0.9965416666666667, 240000, 830, 227400, 12600, 0.9341269841269841, 0, 0.0)
(0.2, 106, 4, 0.056785323162242274, 0.05, 0.0025055086458632136, 'MATCH', 0.9951333333333333, 240000, 1168, 229480, 10520, 0.8889733840304183, 0, 0.0)
(0.3, 106, 4, 0.03712486308780516, 0.15, 0.0016696094690267782, 'MATCH', 0.9930125, 240000, 1677, 228673, 11327, 0.8519466760836938, 0, 0.0)
(0.4, 106, 4, 0.02543772840560718, 0.05, 0.0005760299947688008, 'MATCH', 0.989525, 240000, 2514, 226660, 13340, 0.811544227886057, 0, 0.0)
(0.1, 106, 5, 0.022899294900765033, 0.1, 0.0007479812306787348, 'MATCH', 0.950025, 240000, 11994, 51579, 188421, 0.9363446749566131, 2883, 0.0153008422628051)
(0.2, 106, 5, 0.007172439857012491, 0.0, 0, 'MATCH', 0.8989958333333333, 240000, 24241, 48257, 191743, 0.8735755672958074, 4278, 0.02231111435619553)
(0.3, 106, 5, 0.009655886284912579, 0.05, 0.0005881834654559159, 'MATCH', 0.8469541666666667, 240000, 36731, 47746, 192254, 0.8089454575717541, 6851, 0.035635149333693966)
(0.4, 106, 5, 0.006151742961070933, 0.05, 1.2819752208681479e-06, 'MATCH', 0.7997, 240000, 48072, 48127, 191873, 0.7494592777514293, 7347, 0.03829095286986705)
(0.1, 106, 6, 0.02953198602867635, 0.1, 0.0004930078721649966, 'MATCH', 0.9848041666666667, 240000, 3647, 169949, 70051, 0.9479379309360323, 0, 0.0)
(0.2, 106, 6, 0.016847448793277375, 0.05, 5.8337807257113905e-05, 'MATCH', 0.9707458333333333, 240000, 7021, 169100, 70900, 0.9009732016925247, 0, 0.0)
(0.3, 106, 6, 0.017574087106625818, 0.05, 0.0015783260966824586, 'MATCH', 0.957225, 240000, 10266, 166253, 73747, 0.8607943373967755, 0, 0.0)
(0.4, 106, 6, 0.010768261493741826, 0.05, 0.00043499579658257126, 'MATCH', 0.94375, 240000, 13500, 161338, 78662, 0.8283796496402329, 0, 0.0)
(0.1, 106, 7, 0.01487931133938969, 0.0, 0, 'MATCH', 0.9606291666666666, 240000, 9449, 91064, 148936, 0.9365566417790192, 700, 0.00470000537143471)
(0.2, 106, 7, 0.009968513897165299, 0.0, 0, 'MATCH', 0.9359708333333333, 240000, 15367, 84400, 155600, 0.9012403598971722, 2190, 0.014074550128534704)
