alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 41, 0, 0.018841007153045097, 0.2, 0.000351671296360323, 'MATCH', 0.9232333333333334, 240000, 18424, 51416, 188584, 0.9023034827981165, 0, 0.0)
(0.2, 41, 0, 0.013001554290397871, 0.05, 0.0004381629105092433, 'MATCH', 0.8783375, 240000, 29199, 76982, 163018, 0.820884810266351, 0, 0.0)
(0.3, 41, 0, 0.011158882048224277, 0.05, 0.0007086921459116824, 'MATCH', 0.8639875, 240000, 32643, 93205, 146795, 0.7776286658264927, 0, 0.0)
(0.4, 41, 0, 0.0069969474169145895, 0.0, 0, 'MATCH', 0.8904416666666667, 240000, 26294, 105700, 134300, 0.8042144452717797, 0, 0.0)
(0.1, 41, 1, 0.06914368273286453, 0.05, 0.000874888027525389, 'MATCH', 1.0, 240000, 0, 227119, 12881, 1.0, 0, 0.0)
(0.2, 41, 1, 0.043971764256065526, 0.05, 0.00130816827427771, 'MATCH', 0.9999916666666666, 240000, 2, 225558, 14442, 0.9998615150256197, 0, 0.0)
(0.3, 41, 1, 0.023953184462147857, 0.0, 0, 'MATCH', 0.999975, 240000, 6, 225036, 14964, 0.9995990376904571, 0, 0.0)
(0.4, 41, 1, 0.029751977643804883, 0.1, 0.003295981716318175, 'MATCH', 0.9999666666666667, 240000, 8, 223784, 16216, 0.9995066600888012, 0, 0.0)
(0.1, 41, 2, 0.03164740308006314, 0.05, 0.0014298859045130535, 'MATCH', 0.9592, 240000, 9792, 90012, 149988, 0.9347147771821745, 147, 0.0009800784062725019)
(0.2, 41, 2, 0.013782260707897315, 0.05, 0.0004887088433137565, 'MATCH', 0.9182625, 240000, 19617, 89954, 150046, 0.8692600935713048, 608, 0.004052090692187729)
(0.3, 41, 2, 0.010130038960039686, 0.05, 0.0004133899272761865, 'MATCH', 0.8778791666666667, 240000, 29309, 91010, 148990, 0.803282099469763, 1211, 0.008128062286059468)
(0.4, 41, 2, 0.0060859231343790565, 0.0, 0, 'MATCH', 0.8486291666666667, 240000, 36329, 93063, 146937, 0.7527579847145376, 1714, 0.011664863172652225)
(0.1, 41, 3, 0.04186843143953817, 0.05, 0.0007898227802450725, 'MATCH', 0.9993208333333333, 240000, 163, 201728, 38272, 0.9957410117056856, 2, 5.225752508361204e-05)
