alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 202, 0.975, 120, 3, 49, 71, 0.957746478873, 0, 0.0
0.1, 99, 202, 0.958333333333, 120, 5, 42, 78, 0.935897435897, 0, 0.0
0.1, 99, 202, 0.966666666667, 120, 4, 35, 85, 0.952941176471, 0, 0.0
0.1, 99, 202, 0.958333333333, 120, 5, 43, 77, 0.935064935065, 0, 0.0
0.1, 99, 202, 0.95, 120, 6, 50, 70, 0.914285714286, 0, 0.0
0.1, 99, 202, 0.991666666667, 120, 1, 40, 80, 0.9875, 0, 0.0
0.1, 99, 202, 1.0, 120, 0, 59, 61, 1.0, 0, 0.0
0.1, 99, 202, 0.983333333333, 120, 2, 49, 71, 0.971830985915, 0, 0.0
0.1, 99, 202, 0.966666666667, 120, 4, 42, 78, 0.948717948718, 0, 0.0
0.1, 99, 202, 0.983333333333, 120, 2, 58, 62, 0.967741935484, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 37, 83, 0.963855421687, 0, 0.0
0.1, 99, 202, 0.95, 120, 6, 44, 76, 0.921052631579, 0, 0.0
0.1, 99, 202, 0.983333333333, 120, 2, 40, 80, 0.975, 0, 0.0
0.1, 99, 202, 0.966666666667, 120, 4, 37, 83, 0.951807228916, 0, 0.0
0.1, 99, 202, 0.941666666667, 120, 7, 47, 73, 0.904109589041, 0, 0.0
0.1, 99, 202, 0.966666666667, 120, 4, 49, 71, 0.943661971831, 0, 0.0
0.1, 99, 202, 0.958333333333, 120, 5, 44, 76, 0.934210526316, 0, 0.0
0.1, 99, 202, 0.958333333333, 120, 5, 53, 67, 0.925373134328, 0, 0.0
0.1, 99, 202, 0.983333333333, 120, 2, 42, 78, 0.974358974359, 0, 0.0
0.1, 99, 202, 0.958333333333, 120, 5, 38, 82, 0.939024390244, 0, 0.0
0.1, 99, 202, 0.991666666667, 120, 1, 50, 70, 0.985714285714, 0, 0.0
0.1, 99, 202, 0.983333333333, 120, 2, 53, 67, 0.970149253731, 0, 0.0
0.1, 99, 202, 0.966666666667, 120, 4, 55, 65, 0.938461538462, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 40, 80, 0.9625, 0, 0.0
0.1, 99, 202, 0.95, 120, 6, 42, 78, 0.923076923077, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 57, 63, 0.952380952381, 0, 0.0
0.1, 99, 202, 0.95, 120, 6, 45, 75, 0.92, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 37, 83, 0.963855421687, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 45, 75, 0.96, 0, 0.0
0.1, 99, 202, 0.95, 120, 6, 37, 83, 0.927710843373, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 46, 74, 0.959459459459, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 60, 60, 0.95, 0, 0.0
0.1, 99, 202, 0.958333333333, 120, 5, 45, 75, 0.933333333333, 0, 0.0
0.1, 99, 202, 0.95, 120, 6, 42, 78, 0.923076923077, 0, 0.0
0.1, 99, 202, 1.0, 120, 0, 43, 77, 1.0, 0, 0.0
0.1, 99, 202, 0.983333333333, 120, 2, 61, 59, 0.966101694915, 0, 0.0
0.1, 99, 202, 0.975, 120, 3, 53, 67, 0.955223880597, 0, 0.0
0.1, 99, 202, 0.966666666667, 120, 4, 50, 70, 0.942857142857, 0, 0.0
