alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 216, 0.958333333333, 120, 5, 29, 91, 0.945054945055, 1, 0.010989010989
0.1, 99, 216, 0.991666666667, 120, 1, 25, 95, 0.989473684211, 1, 0.0105263157895
0.1, 99, 216, 0.95, 120, 6, 26, 94, 0.936170212766, 1, 0.0106382978723
0.1, 99, 216, 0.941666666667, 120, 7, 26, 94, 0.925531914894, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 23, 97, 0.969072164948, 1, 0.0103092783505
0.1, 99, 216, 0.991666666667, 120, 1, 24, 96, 0.989583333333, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 19, 101, 0.970297029703, 1, 0.00990099009901
0.1, 99, 216, 0.966666666667, 120, 4, 22, 98, 0.959183673469, 0, 0.0
0.1, 99, 216, 0.941666666667, 120, 7, 19, 101, 0.930693069307, 3, 0.029702970297
0.1, 99, 216, 0.925, 120, 9, 19, 101, 0.910891089109, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 24, 96, 0.96875, 1, 0.0104166666667
0.1, 99, 216, 0.966666666667, 120, 4, 24, 96, 0.958333333333, 1, 0.0104166666667
0.1, 99, 216, 0.925, 120, 9, 15, 105, 0.914285714286, 2, 0.0190476190476
0.1, 99, 216, 0.975, 120, 3, 27, 93, 0.967741935484, 1, 0.010752688172
0.1, 99, 216, 0.95, 120, 6, 24, 96, 0.9375, 0, 0.0
0.1, 99, 216, 0.966666666667, 120, 4, 25, 95, 0.957894736842, 1, 0.0105263157895
0.1, 99, 216, 0.941666666667, 120, 7, 21, 99, 0.929292929293, 1, 0.010101010101
0.1, 99, 216, 0.966666666667, 120, 4, 27, 93, 0.956989247312, 1, 0.010752688172
0.1, 99, 216, 0.925, 120, 9, 24, 96, 0.90625, 1, 0.0104166666667
0.1, 99, 216, 0.95, 120, 6, 26, 94, 0.936170212766, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 28, 92, 0.967391304348, 0, 0.0
0.1, 99, 216, 0.941666666667, 120, 7, 16, 104, 0.932692307692, 0, 0.0
0.1, 99, 216, 0.925, 120, 9, 25, 95, 0.905263157895, 0, 0.0
0.1, 99, 216, 0.933333333333, 120, 8, 17, 103, 0.922330097087, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 20, 100, 0.97, 1, 0.01
0.1, 99, 216, 0.983333333333, 120, 2, 28, 92, 0.978260869565, 1, 0.0108695652174
0.1, 99, 216, 0.941666666667, 120, 7, 19, 101, 0.930693069307, 2, 0.019801980198
0.1, 99, 216, 0.958333333333, 120, 5, 26, 94, 0.946808510638, 1, 0.0106382978723
0.1, 99, 216, 0.95, 120, 6, 23, 97, 0.938144329897, 1, 0.0103092783505
0.1, 99, 216, 0.925, 120, 9, 18, 102, 0.911764705882, 0, 0.0
0.1, 99, 216, 0.991666666667, 120, 1, 27, 93, 0.989247311828, 2, 0.0215053763441
0.1, 99, 216, 0.966666666667, 120, 4, 31, 89, 0.955056179775, 3, 0.0337078651685
0.1, 99, 216, 0.983333333333, 120, 2, 23, 97, 0.979381443299, 0, 0.0
0.1, 99, 216, 0.966666666667, 120, 4, 30, 90, 0.955555555556, 1, 0.0111111111111
0.1, 99, 216, 0.933333333333, 120, 8, 24, 96, 0.916666666667, 3, 0.03125
0.1, 99, 216, 0.95, 120, 6, 26, 94, 0.936170212766, 2, 0.0212765957447
0.1, 99, 216, 0.966666666667, 120, 4, 30, 90, 0.955555555556, 1, 0.0111111111111
0.1, 99, 216, 0.966666666667, 120, 4, 32, 88, 0.954545454545, 1, 0.0113636363636
0.1, 99, 216, 0.958333333333, 120, 5, 29, 91, 0.945054945055, 1, 0.010989010989
0.1, 99, 216, 0.966666666667, 120, 4, 26, 94, 0.957446808511, 1, 0.0106382978723
0.1, 99, 216, 0.933333333333, 120, 8, 17, 103, 0.922330097087, 0, 0.0
0.1, 99, 216, 0.95, 120, 6, 24, 96, 0.9375, 0, 0.0
0.1, 99, 216, 0.916666666667, 120, 10, 25, 95, 0.894736842105, 2, 0.0210526315789
0.1, 99, 216, 0.958333333333, 120, 5, 21, 99, 0.949494949495, 0, 0.0
0.1, 99, 216, 0.966666666667, 120, 4, 23, 97, 0.958762886598, 1, 0.0103092783505
0.1, 99, 216, 0.991666666667, 120, 1, 17, 103, 0.990291262136, 1, 0.00970873786408
0.1, 99, 216, 0.916666666667, 120, 10, 21, 99, 0.89898989899, 5, 0.0505050505051
0.1, 99, 216, 0.991666666667, 120, 1, 18, 102, 0.990196078431, 4, 0.0392156862745
0.1, 99, 216, 0.966666666667, 120, 4, 20, 100, 0.96, 0, 0.0
0.1, 99, 216, 0.95, 120, 6, 18, 102, 0.941176470588, 1, 0.00980392156863
0.1, 99, 216, 0.95, 120, 6, 28, 92, 0.934782608696, 1, 0.0108695652174
0.1, 99, 216, 0.966666666667, 120, 4, 32, 88, 0.954545454545, 1, 0.0113636363636
0.1, 99, 216, 0.966666666667, 120, 4, 25, 95, 0.957894736842, 2, 0.0210526315789
0.1, 99, 216, 0.95, 120, 6, 24, 96, 0.9375, 0, 0.0
0.1, 99, 216, 0.966666666667, 120, 4, 36, 84, 0.952380952381, 0, 0.0
0.1, 99, 216, 0.966666666667, 120, 4, 27, 93, 0.956989247312, 2, 0.0215053763441
0.1, 99, 216, 0.925, 120, 9, 19, 101, 0.910891089109, 2, 0.019801980198
0.1, 99, 216, 0.916666666667, 120, 10, 23, 97, 0.896907216495, 2, 0.020618556701
0.1, 99, 216, 0.941666666667, 120, 7, 24, 96, 0.927083333333, 2, 0.0208333333333
0.1, 99, 216, 0.941666666667, 120, 7, 19, 101, 0.930693069307, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 27, 93, 0.967741935484, 0, 0.0
0.1, 99, 216, 0.958333333333, 120, 5, 26, 94, 0.946808510638, 0, 0.0
0.1, 99, 216, 0.933333333333, 120, 8, 25, 95, 0.915789473684, 0, 0.0
0.1, 99, 216, 0.983333333333, 120, 2, 23, 97, 0.979381443299, 2, 0.020618556701
0.1, 99, 216, 0.9, 120, 12, 22, 98, 0.877551020408, 1, 0.0102040816327
0.1, 99, 216, 0.95, 120, 6, 23, 97, 0.938144329897, 0, 0.0
0.1, 99, 216, 0.933333333333, 120, 8, 18, 102, 0.921568627451, 1, 0.00980392156863
0.1, 99, 216, 0.958333333333, 120, 5, 21, 99, 0.949494949495, 3, 0.030303030303
0.1, 99, 216, 0.933333333333, 120, 8, 19, 101, 0.920792079208, 1, 0.00990099009901
0.1, 99, 216, 0.975, 120, 3, 25, 95, 0.968421052632, 1, 0.0105263157895
0.1, 99, 216, 0.966666666667, 120, 4, 18, 102, 0.960784313725, 1, 0.00980392156863
0.1, 99, 216, 0.958333333333, 120, 5, 24, 96, 0.947916666667, 1, 0.0104166666667
0.1, 99, 216, 0.958333333333, 120, 5, 23, 97, 0.948453608247, 1, 0.0103092783505
0.1, 99, 216, 0.941666666667, 120, 7, 15, 105, 0.933333333333, 1, 0.00952380952381
0.1, 99, 216, 0.975, 120, 3, 24, 96, 0.96875, 1, 0.0104166666667
0.1, 99, 216, 0.975, 120, 3, 24, 96, 0.96875, 0, 0.0
0.1, 99, 216, 0.95, 120, 6, 21, 99, 0.939393939394, 0, 0.0
0.1, 99, 216, 0.933333333333, 120, 8, 19, 101, 0.920792079208, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 20, 100, 0.97, 0, 0.0
0.1, 99, 216, 0.958333333333, 120, 5, 19, 101, 0.950495049505, 1, 0.00990099009901
0.1, 99, 216, 0.95, 120, 6, 29, 91, 0.934065934066, 1, 0.010989010989
0.1, 99, 216, 0.983333333333, 120, 2, 25, 95, 0.978947368421, 0, 0.0
0.1, 99, 216, 0.95, 120, 6, 24, 96, 0.9375, 0, 0.0
0.1, 99, 216, 0.966666666667, 120, 4, 26, 94, 0.957446808511, 0, 0.0
0.1, 99, 216, 0.933333333333, 120, 8, 25, 95, 0.915789473684, 0, 0.0
0.1, 99, 216, 0.958333333333, 120, 5, 22, 98, 0.948979591837, 2, 0.0204081632653
0.1, 99, 216, 0.966666666667, 120, 4, 19, 101, 0.960396039604, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 18, 102, 0.970588235294, 1, 0.00980392156863
0.1, 99, 216, 0.975, 120, 3, 20, 100, 0.97, 0, 0.0
0.1, 99, 216, 0.975, 120, 3, 18, 102, 0.970588235294, 1, 0.00980392156863
0.1, 99, 216, 0.975, 120, 3, 25, 95, 0.968421052632, 1, 0.0105263157895
0.1, 99, 216, 0.941666666667, 120, 7, 14, 106, 0.933962264151, 3, 0.0283018867925
0.1, 99, 216, 0.966666666667, 120, 4, 25, 95, 0.957894736842, 0, 0.0
0.1, 99, 216, 0.933333333333, 120, 8, 17, 103, 0.922330097087, 0, 0.0
