alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 112, 0.983333333333, 120, 2, 98, 22, 0.909090909091, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 98, 22, 0.954545454545, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 96, 24, 0.916666666667, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 69, 51, 0.941176470588, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 100, 20, 0.85, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 89, 31, 0.935483870968, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 89, 31, 0.903225806452, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 97, 23, 0.869565217391, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 83, 37, 0.918918918919, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 96, 24, 0.916666666667, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 89, 31, 0.935483870968, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 96, 24, 0.958333333333, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 99, 21, 0.952380952381, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 98, 22, 0.863636363636, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 103, 17, 0.823529411765, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 84, 36, 0.944444444444, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 83, 37, 0.891891891892, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 82, 38, 0.947368421053, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 101, 19, 0.894736842105, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 107, 13, 0.923076923077, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 94, 26, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 97, 23, 0.913043478261, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 101, 19, 0.789473684211, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 98, 22, 0.954545454545, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 95, 25, 0.96, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 90, 30, 0.933333333333, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 110, 10, 0.9, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 90, 30, 0.966666666667, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 88, 32, 0.90625, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 96, 24, 0.916666666667, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 107, 13, 0.923076923077, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 99, 21, 0.857142857143, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 96, 24, 0.916666666667, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 96, 24, 0.916666666667, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 80, 40, 0.925, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 97, 23, 0.869565217391, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 77, 43, 0.93023255814, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 101, 19, 0.736842105263, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 84, 36, 0.861111111111, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 81, 39, 0.897435897436, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 108, 12, 0.75, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 111, 9, 1.0, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 82, 38, 0.894736842105, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 88, 32, 0.96875, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 87, 33, 0.909090909091, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 108, 12, 0.75, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 88, 32, 0.84375, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 96, 24, 0.958333333333, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 94, 26, 0.923076923077, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 87, 33, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 91, 29, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 84, 36, 0.916666666667, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 82, 38, 0.947368421053, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 86, 34, 0.911764705882, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 89, 31, 0.935483870968, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 84, 36, 0.944444444444, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 93, 27, 0.962962962963, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 79, 41, 0.951219512195, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 97, 23, 0.95652173913, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 88, 32, 0.875, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 94, 26, 0.961538461538, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 89, 31, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 95, 25, 0.92, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 103, 17, 0.882352941176, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 91, 29, 0.896551724138, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 104, 16, 0.9375, 0, 0.0
