alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 150, 0.975, 120, 3, 31, 89, 0.966292134831, 4, 0.0449438202247
0.1, 99, 150, 0.991666666667, 120, 1, 34, 86, 0.988372093023, 0, 0.0
0.1, 99, 150, 0.983333333333, 120, 2, 23, 97, 0.979381443299, 1, 0.0103092783505
0.1, 99, 150, 0.983333333333, 120, 2, 29, 91, 0.978021978022, 1, 0.010989010989
0.1, 99, 150, 0.991666666667, 120, 1, 29, 91, 0.989010989011, 1, 0.010989010989
0.1, 99, 150, 0.983333333333, 120, 2, 31, 89, 0.977528089888, 1, 0.0112359550562
0.1, 99, 150, 0.991666666667, 120, 1, 35, 85, 0.988235294118, 0, 0.0
0.1, 99, 150, 0.983333333333, 120, 2, 29, 91, 0.978021978022, 2, 0.021978021978
0.1, 99, 150, 0.991666666667, 120, 1, 32, 88, 0.988636363636, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 29, 91, 0.989010989011, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 28, 92, 0.989130434783, 1, 0.0108695652174
0.1, 99, 150, 1.0, 120, 0, 35, 85, 1.0, 1, 0.0117647058824
0.1, 99, 150, 0.991666666667, 120, 1, 27, 93, 0.989247311828, 2, 0.0215053763441
0.1, 99, 150, 0.991666666667, 120, 1, 26, 94, 0.989361702128, 1, 0.0106382978723
0.1, 99, 150, 0.983333333333, 120, 2, 34, 86, 0.976744186047, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 34, 86, 1.0, 2, 0.0232558139535
0.1, 99, 150, 0.991666666667, 120, 1, 30, 90, 0.988888888889, 2, 0.0222222222222
0.1, 99, 150, 0.991666666667, 120, 1, 32, 88, 0.988636363636, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 25, 95, 1.0, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 39, 81, 0.987654320988, 0, 0.0
0.1, 99, 150, 0.983333333333, 120, 2, 26, 94, 0.978723404255, 1, 0.0106382978723
0.1, 99, 150, 0.991666666667, 120, 1, 29, 91, 0.989010989011, 1, 0.010989010989
0.1, 99, 150, 0.983333333333, 120, 2, 36, 84, 0.97619047619, 2, 0.0238095238095
0.1, 99, 150, 1.0, 120, 0, 30, 90, 1.0, 0, 0.0
0.1, 99, 150, 0.966666666667, 120, 4, 34, 86, 0.953488372093, 2, 0.0232558139535
0.1, 99, 150, 0.966666666667, 120, 4, 33, 87, 0.954022988506, 1, 0.0114942528736
0.1, 99, 150, 0.991666666667, 120, 1, 29, 91, 0.989010989011, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 36, 84, 0.988095238095, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 28, 92, 1.0, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 30, 90, 1.0, 0, 0.0
0.1, 99, 150, 0.983333333333, 120, 2, 34, 86, 0.976744186047, 1, 0.0116279069767
0.1, 99, 150, 0.991666666667, 120, 1, 28, 92, 0.989130434783, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 31, 89, 1.0, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 34, 86, 1.0, 0, 0.0
0.1, 99, 150, 0.983333333333, 120, 2, 29, 91, 0.978021978022, 0, 0.0
0.1, 99, 150, 0.983333333333, 120, 2, 40, 80, 0.975, 1, 0.0125
0.1, 99, 150, 0.991666666667, 120, 1, 43, 77, 0.987012987013, 2, 0.025974025974
0.1, 99, 150, 0.991666666667, 120, 1, 39, 81, 0.987654320988, 2, 0.0246913580247
0.1, 99, 150, 1.0, 120, 0, 28, 92, 1.0, 0, 0.0
0.1, 99, 150, 0.975, 120, 3, 36, 84, 0.964285714286, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 28, 92, 0.989130434783, 2, 0.0217391304348
0.1, 99, 150, 1.0, 120, 0, 27, 93, 1.0, 1, 0.010752688172
0.1, 99, 150, 0.983333333333, 120, 2, 37, 83, 0.975903614458, 1, 0.0120481927711
0.1, 99, 150, 0.991666666667, 120, 1, 35, 85, 0.988235294118, 1, 0.0117647058824
0.1, 99, 150, 0.983333333333, 120, 2, 27, 93, 0.978494623656, 1, 0.010752688172
0.1, 99, 150, 0.983333333333, 120, 2, 33, 87, 0.977011494253, 1, 0.0114942528736
0.1, 99, 150, 1.0, 120, 0, 24, 96, 1.0, 1, 0.0104166666667
0.1, 99, 150, 0.991666666667, 120, 1, 29, 91, 0.989010989011, 1, 0.010989010989
0.1, 99, 150, 0.991666666667, 120, 1, 25, 95, 0.989473684211, 2, 0.0210526315789
0.1, 99, 150, 0.991666666667, 120, 1, 29, 91, 0.989010989011, 2, 0.021978021978
0.1, 99, 150, 0.991666666667, 120, 1, 35, 85, 0.988235294118, 1, 0.0117647058824
0.1, 99, 150, 1.0, 120, 0, 42, 78, 1.0, 1, 0.0128205128205
0.1, 99, 150, 1.0, 120, 0, 41, 79, 1.0, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 32, 88, 1.0, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 32, 88, 1.0, 0, 0.0
0.1, 99, 150, 0.975, 120, 3, 31, 89, 0.966292134831, 2, 0.0224719101124
0.1, 99, 150, 0.983333333333, 120, 2, 27, 93, 0.978494623656, 1, 0.010752688172
0.1, 99, 150, 0.991666666667, 120, 1, 24, 96, 0.989583333333, 1, 0.0104166666667
0.1, 99, 150, 1.0, 120, 0, 33, 87, 1.0, 1, 0.0114942528736
0.1, 99, 150, 0.966666666667, 120, 4, 23, 97, 0.958762886598, 3, 0.0309278350515
0.1, 99, 150, 0.975, 120, 3, 24, 96, 0.96875, 2, 0.0208333333333
0.1, 99, 150, 0.991666666667, 120, 1, 32, 88, 0.988636363636, 2, 0.0227272727273
0.1, 99, 150, 0.991666666667, 120, 1, 34, 86, 0.988372093023, 1, 0.0116279069767
0.1, 99, 150, 0.991666666667, 120, 1, 22, 98, 0.989795918367, 1, 0.0102040816327
0.1, 99, 150, 0.975, 120, 3, 36, 84, 0.964285714286, 2, 0.0238095238095
0.1, 99, 150, 0.991666666667, 120, 1, 33, 87, 0.988505747126, 1, 0.0114942528736
0.1, 99, 150, 0.991666666667, 120, 1, 30, 90, 0.988888888889, 0, 0.0
0.1, 99, 150, 0.983333333333, 120, 2, 36, 84, 0.97619047619, 2, 0.0238095238095
0.1, 99, 150, 0.966666666667, 120, 4, 42, 78, 0.948717948718, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 33, 87, 0.988505747126, 1, 0.0114942528736
0.1, 99, 150, 1.0, 120, 0, 30, 90, 1.0, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 26, 94, 0.989361702128, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 34, 86, 0.988372093023, 1, 0.0116279069767
0.1, 99, 150, 1.0, 120, 0, 32, 88, 1.0, 3, 0.0340909090909
0.1, 99, 150, 0.983333333333, 120, 2, 20, 100, 0.98, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 30, 90, 1.0, 1, 0.0111111111111
0.1, 99, 150, 1.0, 120, 0, 35, 85, 1.0, 1, 0.0117647058824
0.1, 99, 150, 0.991666666667, 120, 1, 31, 89, 0.988764044944, 1, 0.0112359550562
0.1, 99, 150, 0.991666666667, 120, 1, 32, 88, 0.988636363636, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 33, 87, 1.0, 1, 0.0114942528736
0.1, 99, 150, 1.0, 120, 0, 26, 94, 1.0, 1, 0.0106382978723
0.1, 99, 150, 0.983333333333, 120, 2, 30, 90, 0.977777777778, 1, 0.0111111111111
0.1, 99, 150, 1.0, 120, 0, 35, 85, 1.0, 1, 0.0117647058824
0.1, 99, 150, 0.991666666667, 120, 1, 25, 95, 0.989473684211, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 28, 92, 1.0, 1, 0.0108695652174
0.1, 99, 150, 1.0, 120, 0, 39, 81, 1.0, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 27, 93, 0.989247311828, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 30, 90, 0.988888888889, 1, 0.0111111111111
0.1, 99, 150, 0.991666666667, 120, 1, 24, 96, 0.989583333333, 2, 0.0208333333333
0.1, 99, 150, 1.0, 120, 0, 36, 84, 1.0, 1, 0.0119047619048
0.1, 99, 150, 0.983333333333, 120, 2, 31, 89, 0.977528089888, 2, 0.0224719101124
0.1, 99, 150, 0.991666666667, 120, 1, 36, 84, 0.988095238095, 1, 0.0119047619048
0.1, 99, 150, 0.991666666667, 120, 1, 33, 87, 0.988505747126, 1, 0.0114942528736
0.1, 99, 150, 1.0, 120, 0, 20, 100, 1.0, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 28, 92, 0.989130434783, 1, 0.0108695652174
0.1, 99, 150, 0.975, 120, 3, 30, 90, 0.966666666667, 1, 0.0111111111111
0.1, 99, 150, 1.0, 120, 0, 28, 92, 1.0, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 24, 96, 1.0, 0, 0.0
0.1, 99, 150, 0.991666666667, 120, 1, 29, 91, 0.989010989011, 0, 0.0
0.1, 99, 150, 1.0, 120, 0, 37, 83, 1.0, 1, 0.0120481927711
0.1, 99, 150, 0.983333333333, 120, 2, 30, 90, 0.977777777778, 2, 0.0222222222222
